player_name,player_link,player_type,cost_lakhs,cost_dollars,born_date,player_age,batting_style,bowling_style,playing_role
Kuldeep Yadav,https://www.espncricinfo.com/ci/content/player/559235.html,Not available,200,243,"December 14, 1994, Kanpur, Uttar Pradesh",28y 157d,Left hand Bat,Left arm Wrist spin,Bowler
Phil Salt,https://www.espncricinfo.com/ci/content/player/669365.html,Not available,200,243,"August 28, 1996, Bodelwyddan, North Wales",26y 265d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Kamlesh Nagarkoti,https://www.espncricinfo.com/ci/content/player/1070188.html,Not available,110,134,"December 28, 1999, Barmer, Rajasthan",23y 143d,Right hand Bat,Right arm Fast,Bowler
Lalit Yadav,https://www.espncricinfo.com/ci/content/player/930189.html,Not available,65,79,"January 03, 1997, Delhi",26y 137d,Right hand Bat,Right arm Offbreak,Allrounder
Yash Dhull,https://www.espncricinfo.com/ci/content/player/1292498.html,Not available,50,60,"November 11, 2002, New Delhi",20y 190d,Right hand Bat,Right arm Offbreak,Top order Batter
Ishant Sharma,https://www.espncricinfo.com/ci/content/player/236779.html,Not available,50,60,"September 02, 1988, Delhi",34y 260d,Right hand Bat,Right arm Fast medium,Bowler
Lungi Ngidi,https://www.espncricinfo.com/ci/content/player/542023.html,Not available,50,60,"March 29, 1996, Durban, Natal",27y 52d,Right hand Bat,Right arm Fast medium,Bowler
Praveen Dubey,https://www.espncricinfo.com/ci/content/player/777515.html,Not available,50,60,"July 01, 1993, Azamgarh, Uttar Pradesh",29y 323d,Right hand Bat,Legbreak Googly,Bowler
Ripal Patel,https://www.espncricinfo.com/ci/content/player/1201520.html,Not available,20,24,"September 28, 1995, Nadiad",27y 234d,Right hand Bat,Right arm Medium fast,Middle order Batter
Aman Khan,https://www.espncricinfo.com/ci/content/player/1254269.html,Not available,20,24,"November 23, 1996",26y 178d,Right hand Bat,Right arm Medium,Allrounder
Vicky Ostwal,https://www.espncricinfo.com/ci/content/player/1292520.html,Not available,20,24,"September 01, 2002, Pune, Maharashtra",20y 261d,Right hand Bat,Slow Left arm Orthodox,Bowler
Sarfaraz Khan,https://www.espncricinfo.com/ci/content/player/642525.html,Not available,20,24,"October 22, 1997, Mumbai",25y 210d,Right hand Bat,Legbreak,Middle order Batter
Sanju Samson,https://www.espncricinfo.com/ci/content/player/425943.html,Not available,1400,1707,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",28y 190d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Jos Buttler,https://www.espncricinfo.com/ci/content/player/308967.html,Not available,1000,1219,"September 08, 1990, Taunton, Somerset",32y 254d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Prasidh Krishna,https://www.espncricinfo.com/ci/content/player/917159.html,Not available,1000,1219,"February 19, 1996, Bangalore, Karnataka",27y 90d,Right hand Bat,Right arm Fast medium,Bowler
Shimron Hetmyer,https://www.espncricinfo.com/ci/content/player/670025.html,Not available,850,1036,"December 26, 1996, Cumberland, Berbice, Guyana",26y 145d,Left hand Bat,Top order Batter
Trent Boult,https://www.espncricinfo.com/ci/content/player/277912.html,Not available,800,975,"July 22, 1989, Rotorua",33y 302d,Right hand Bat,Left arm Fast medium,Bowler
Devdutt Padikkal,https://www.espncricinfo.com/ci/content/player/1119026.html,Not available,775,945,"July 07, 2000, Edapal, Kerala",22y 317d,Left hand Bat,Right arm Offbreak,Top order Batter
Yuzvendra Chahal,https://www.espncricinfo.com/ci/content/player/430246.html,Not available,650,792,"July 23, 1990, Jind, Haryana",32y 301d,Right hand Bat,Legbreak Googly,Bowler
Jason Holder,https://www.espncricinfo.com/ci/content/player/391485.html,Not available,575,701,"November 05, 1991, Barbados",31y 196d,Right hand Bat,Right arm Medium fast,Bowling Allrounder
R Ashwin,https://www.espncricinfo.com/ci/content/player/26421.html,Not available,500,609,"September 17, 1986, Madras (now Chennai), Tamil Nadu",36y 245d,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Yashasvi Jaiswal,https://www.espncricinfo.com/ci/content/player/1151278.html,Not available,400,487,"December 28, 2001, Suriya, Uttar Pradesh",21y 143d,Left hand Bat,Legbreak,Opening Batter
Riyan Parag,https://www.espncricinfo.com/ci/content/player/1079434.html,Not available,380,463,"November 10, 2001, Guwahati, Assam",21y 191d,Right hand Bat,Legbreak,Top order Batter
